1	2
1	3
1	4
1	5
1	6
1	7
8	4
8	5
8	9
10	3
10	9
11	12
11	13
11	14
11	15
11	16
11	17
17	15
17	11
17	16
18	19
18	20
18	21
18	5
18	22
18	23
24	19
24	20
24	4
23	19
23	2
23	20
23	25
9	26
9	21
9	4
9	5
9	27
9	28
29	14
29	15
12	13
12	15
12	30
12	11
12	31
12	32
12	33
12	34
26	21
26	4
26	5
19	20
19	21
19	4
19	5
19	17
19	18
2	19
2	4
2	5
3	1
3	26
3	21
3	4
13	14
13	35
13	16
13	36
13	37
20	1
20	19
20	5
20	24
20	23
14	12
14	13
14	15
15	12
15	26
15	13
15	14
15	38
15	11
15	17
15	9
21	26
21	15
21	4
21	5
21	39
21	18
21	9
4	21
4	5
4	39
4	27
4	6
4	7
5	21
5	4
5	25
5	39
5	27
40	41
40	16
40	32
40	33
40	34
40	42
40	36
40	43
40	44
40	37
40	45
40	46
47	25
47	27
48	49
48	50
48	51
48	52
48	53
48	54
48	41
48	35
48	31
38	14
38	52
38	55
38	41
38	16
38	17
25	5
25	39
25	54
22	19
22	30
22	53
22	39
22	31
49	52
49	55
49	56
57	29
57	40
57	55
57	41
57	32
50	48
50	22
50	30
50	53
50	39
50	54
50	16
50	36
30	53
30	35
30	31
30	16
51	54
51	58
52	49
52	56
53	22
53	50
53	30
53	35
53	31
53	16
55	38
55	49
55	57
55	41
39	4
39	5
39	25
39	54
39	27
39	7
54	25
54	22
54	51
54	39
54	58
54	59
54	28
41	38
41	49
41	52
41	55
35	13
35	30
35	31
35	16
35	37
31	22
31	53
31	35
31	16
31	37
16	30
16	35
16	31
16	37
60	61
60	32
62	63
62	27
62	6
62	7
62	64
62	28
58	51
58	54
58	63
58	27
58	6
58	7
58	59
61	60
61	56
61	33
61	34
56	49
56	62
56	63
56	32
56	27
56	33
56	34
56	6
56	7
63	61
63	27
63	33
63	34
63	6
63	7
63	28
63	46
32	40
32	61
32	33
32	34
32	37
27	4
27	5
27	62
27	56
27	6
27	7
27	28
33	61
33	56
33	63
33	32
33	34
33	7
33	37
34	32
34	33
34	7
34	43
34	28
6	62
6	63
6	27
6	7
6	43
6	45
6	28
6	46
7	62
7	63
7	33
7	34
7	6
65	36
65	66
65	67
65	37
65	28
65	46
64	62
64	63
64	27
64	7
64	68
64	28
64	46
69	70
69	44
59	54
59	56
59	63
59	6
59	7
59	65
59	37
42	69
42	70
42	36
42	44
42	28
42	46
70	69
70	44
70	68
36	42
36	44
36	28
43	68
43	67
43	45
43	28
43	46
66	68
66	67
66	45
66	28
66	46
44	42
44	36
44	67
44	37
44	28
44	46
68	43
68	66
68	67
68	45
68	28
68	46
67	42
67	43
67	66
67	68
67	45
67	28
67	46
37	57
37	70
37	36
37	44
37	28
37	46
45	43
45	66
45	68
45	67
45	46
28	43
28	68
28	67
28	45
28	46
46	65
46	36
46	43
46	66
46	68
46	67
46	45
46	28
